fruit,path,label
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002640.png,4
Persimmon,images/Persimmon\Persimmon328.png,9
Persimmon,images/Persimmon\Persimmon1877.png,9
Pitaya,images/Pitaya\Pitaya001829.png,10
Mango,images/Mango\Mango002287.png,5
Guava,images/Guava/guava total final\Guava1348.png,3
Mango,images/Mango\Mango001675.png,5
Mango,images/Mango\Mango00350.png,5
Apple,images/Apple\Apple 01693.png,0
Guava,images/Guava/guava total final\Guava0142.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001371.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00947.png,4
Orange,images/Orange\Orange00518.png,6
Guava,images/Guava/guava total final\Guava0104.png,3
Mango,images/Mango\Mango001458.png,5
Banana,images/Banana\Banana02520.png,1
Persimmon,images/Persimmon\Persimmon1342.png,9
Apple,images/Apple\Apple 0738.png,0
Plum,images/Plum\PlumÒÇé2288.png,11
Banana,images/Banana\Banana02977.png,1
Persimmon,images/Persimmon\Persimmon861.png,9
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi004112.png,4
Mango,images/Mango\Mango001962.png,5
Guava,images/Guava/guava total final\Guava1081.png,3
Plum,images/Plum\PlumÒÇé533.png,11
Tomatoes,images/Tomatoes\Tamotoes00236.png,13
Guava,images/Guava/guava total final\Guava01500.png,3
Orange,images/Orange\Orange001337.png,6
Guava,images/Guava/guava total final\Guava884.png,3
Guava,images/Guava/guava total final\Guava01134.png,3
Pomegranate,images/Pomegranate\Pomegranet002035.png,12
Guava,images/Guava/guava total final\Guava03672.png,3
muskmelon,images/muskmelon\Muskmelon 001760.png,14
Pitaya,images/Pitaya\Pitaya001934.png,10
Guava,images/Guava/guava total final\Guava01240.png,3
Guava,images/Guava/guava total final\Guava0288.png,3
Orange,images/Orange\Orange002945.png,6
Banana,images/Banana\Banana02060.png,1
Kiwi,images/Kiwi/Kiwi C\Kiwi C00606.png,4
Pear,images/Pear\Pear 359.png,8
Plum,images/Plum\PlumÒÇé854.png,11
Guava,images/Guava/guava total final\scene08181.png,3
Mango,images/Mango\Mango00585.png,5
Guava,images/Guava/guava total final\cene12061.png,3
Kiwi,images/Kiwi/Kiwi B\Kiwi B00380.png,4
Pomegranate,images/Pomegranate\Pomegranet001398.png,12
Pomegranate,images/Pomegranate\Pomegranet0028.png,12
Kiwi,images/Kiwi/Kiwi B\Kiwi B0042.png,4
Pear,images/Pear\Pear 1448.png,8
Kiwi,images/Kiwi/kiwi A\Kiwi A001884.png,4
Peach,images/Peach\Peach001278.png,7
muskmelon,images/muskmelon\Muskmelon 00771.png,14
Guava,images/Guava/guava total final\Guava0574.png,3
Kiwi,images/Kiwi/Kiwi C\Kiwi C00962.png,4
Apple,images/Apple\Apple 02112.png,0
Tomatoes,images/Tomatoes\Tamotoes00391.png,13
Kiwi,images/Kiwi/Kiwi B\Kiwi B00245.png,4
Mango,images/Mango\Mango003744.png,5
Apple,images/Apple\Apple 02147.png,0
Kiwi,images/Kiwi/Kiwi C\Kiwi C00917.png,4
Pomegranate,images/Pomegranate\Pomegranet001372.png,12
Mango,images/Mango\Mango003337.png,5
Mango,images/Mango\Mango00229.png,5
Apple,images/Apple\Apple 02359.png,0
Plum,images/Plum\PlumÒÇé2236.png,11
Guava,images/Guava/guava total final\Guava201.png,3
Pomegranate,images/Pomegranate\Pomegranet001712.png,12
Orange,images/Orange\Orange002033.png,6
Pear,images/Pear\Pear 1461.png,8
Plum,images/Plum\PlumÒÇé1165.png,11
Orange,images/Orange\Orange001608.png,6
Kiwi,images/Kiwi/kiwi A\Kiwi A007.png,4
Pitaya,images/Pitaya\Pitaya001795.png,10
Plum,images/Plum\PlumÒÇé1700.png,11
Orange,images/Orange\Orange002425.png,6
Apple,images/Apple\Apple 03256.png,0
Apple,images/Apple\Apple_0_9424.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A00564.png,4
Guava,images/Guava/guava total final\ene10801.png,3
Tomatoes,images/Tomatoes\Tamotoes00675.png,13
Pear,images/Pear\Pear 849.png,8
Pitaya,images/Pitaya\Pitaya001380.png,10
Plum,images/Plum\PlumÒÇé2001.png,11
muskmelon,images/muskmelon\Muskmelon 001795.png,14
Kiwi,images/Kiwi/kiwi A\Kiwi A0098.png,4
Guava,images/Guava/guava total final\Guava1300.png,3
Banana,images/Banana\Banana03002.png,1
Apple,images/Apple\Apple 02562.png,0
Orange,images/Orange\Orange00638.png,6
Pomegranate,images/Pomegranate\Pomegranet00132.png,12
Mango,images/Mango\Mango003175.png,5
Pitaya,images/Pitaya\Pitaya00954.png,10
Pitaya,images/Pitaya\Pitaya00933.png,10
Mango,images/Mango\Mango001846.png,5
Pitaya,images/Pitaya\Pitaya001486.png,10
Orange,images/Orange\Orange00442.png,6
Carambola,images/Carambola\Carambola 001943.png,2
Pomegranate,images/Pomegranate\Pomegranet00158.png,12
Guava,images/Guava/guava total final\ene07531.png,3
Kiwi,images/Kiwi/Kiwi B\Kiwi B00623.png,4
Pear,images/Pear\pear_0_5382.png,8
Guava,images/Guava/guava total final\Guava505.png,3
Guava,images/Guava/guava total final\ene04921.png,3
Peach,images/Peach\Peach00105.png,7
Banana,images/Banana\Banana01196.png,1
Pomegranate,images/Pomegranate\Pomegranet001572.png,12
muskmelon,images/muskmelon\Muskmelon 001681.png,14
Plum,images/Plum\PlumÒÇé435.png,11
Apple,images/Apple\Apple 03019.png,0
Mango,images/Mango\Mango00146.png,5
Guava,images/Guava/guava total final\ene13171.png,3
Apple,images/Apple\Apple 01724.png,0
Mango,images/Mango\Mango003746.png,5
Pear,images/Pear\Pear 280.png,8
Tomatoes,images/Tomatoes\Tamotoes001920.png,13
Mango,images/Mango\Mango001410.png,5
Apple,images/Apple\Apple 0119.png,0
Guava,images/Guava/guava total final\Guava03704.png,3
Kiwi,images/Kiwi/Kiwi C\Kiwi C00224.png,4
Peach,images/Peach\Peach0099.png,7
Orange,images/Orange\Orange002336.png,6
Mango,images/Mango\Mango004103.png,5
Orange,images/Orange\Orange002703.png,6
Peach,images/Peach\Peach001337.png,7
Persimmon,images/Persimmon\Persimmon1854.png,9
Apple,images/Apple\Apple 03743.png,0
Orange,images/Orange\Orange00630.png,6
Guava,images/Guava/guava total final\scene08721.png,3
Banana,images/Banana\Banana01104.png,1
Apple,images/Apple\Apple 0291.png,0
Persimmon,images/Persimmon\Persimmon1951.png,9
Kiwi,images/Kiwi/Kiwi B\Kiwi B00185.png,4
Kiwi,images/Kiwi/Kiwi C\Kiwi C00970.png,4
Tomatoes,images/Tomatoes\Tamotoes002169.png,13
Guava,images/Guava/guava total final\Guava0176.png,3
Mango,images/Mango\Mango003097.png,5
Guava,images/Guava/guava total final\scene04461.png,3
Mango,images/Mango\Mango001015.png,5
Guava,images/Guava/guava total final\Guava02213.png,3
Guava,images/Guava/guava total final\Guava011.png,3
Mango,images/Mango\Mango002448.png,5
Guava,images/Guava/guava total final\Guava1408.png,3
Banana,images/Banana\Banana01664.png,1
Apple,images/Apple\Apple 03138.png,0
Banana,images/Banana\Banana0457.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00190.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003475.png,4
Tomatoes,images/Tomatoes\Tamotoes00812.png,13
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002258.png,4
Banana,images/Banana\Banana0441.png,1
Guava,images/Guava/guava total final\Guava1414.png,3
Tomatoes,images/Tomatoes\Tamotoes00635.png,13
Mango,images/Mango\Mango001793.png,5
Banana,images/Banana\Banana0164.png,1
Mango,images/Mango\Mango001889.png,5
Tomatoes,images/Tomatoes\Tamotoes001957.png,13
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001994.png,4
Plum,images/Plum\PlumÒÇé2071.png,11
Apple,images/Apple\Apple 03074.png,0
Persimmon,images/Persimmon\Persimmon617.png,9
Mango,images/Mango\Mango0056.png,5
Peach,images/Peach\Peach00462.png,7
Guava,images/Guava/guava total final\Guava191.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi0041.png,4
Kiwi,images/Kiwi/Kiwi B\Kiwi B00857.png,4
Persimmon,images/Persimmon\Persimmon1049.png,9
Banana,images/Banana\Banana01372.png,1
Guava,images/Guava/guava total final\Guava03047.png,3
Pomegranate,images/Pomegranate\Pomegranet001449.png,12
Guava,images/Guava/guava total final\Guava282.png,3
Apple,images/Apple\Apple 02871.png,0
Banana,images/Banana\Banana02699.png,1
Pomegranate,images/Pomegranate\Pomegranet00417.png,12
Mango,images/Mango\Mango003860.png,5
Carambola,images/Carambola\Carambola 00956.png,2
Banana,images/Banana\Banana0854.png,1
Plum,images/Plum\PlumÒÇé1273.png,11
Guava,images/Guava/guava total final\Guava02600.png,3
Mango,images/Mango\Mango001805.png,5
Mango,images/Mango\Mango001710.png,5
Guava,images/Guava/guava total final\Guava01558.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A001120.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A001794.png,4
Apple,images/Apple\Apple 02258.png,0
Orange,images/Orange\Orange002589.png,6
Tomatoes,images/Tomatoes\Tamotoes00184.png,13
Apple,images/Apple\Apple 03441.png,0
Apple,images/Apple\Apple 03604.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00424.png,4
Carambola,images/Carambola\Carambola 0024.png,2
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003753.png,4
Orange,images/Orange\Orange002088.png,6
Kiwi,images/Kiwi/Kiwi B\Kiwi B00420.png,4
Apple,images/Apple\Apple 0490.png,0
Plum,images/Plum\PlumÒÇé484.png,11
Plum,images/Plum\PlumÒÇé264.png,11
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00798.png,4
Apple,images/Apple\Apple 03757.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003912.png,4
Mango,images/Mango\Mango003550.png,5
Apple,images/Apple\Apple 02684.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003969.png,4
Pear,images/Pear\Pear 1.png,8
Mango,images/Mango\Mango003096.png,5
muskmelon,images/muskmelon\Muskmelon 001154.png,14
Orange,images/Orange\Orange001237.png,6
Banana,images/Banana\Banana0880.png,1
Pear,images/Pear\Pear 1256.png,8
Kiwi,images/Kiwi/Kiwi C\Kiwi C0044.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A001660.png,4
Mango,images/Mango\Mango00781.png,5
Tomatoes,images/Tomatoes\Tamotoes001189.png,13
Kiwi,images/Kiwi/Kiwi B\Kiwi B00261.png,4
Guava,images/Guava/guava total final\Guava970.png,3
Pomegranate,images/Pomegranate\Pomegranet001630.png,12
Mango,images/Mango\Mango002414.png,5
Persimmon,images/Persimmon\Persimmon1750.png,9
Apple,images/Apple\Apple 01067.png,0
Peach,images/Peach\Peach00440.png,7
Orange,images/Orange\Orange002648.png,6
Kiwi,images/Kiwi/kiwi A\Kiwi A001643.png,4
Mango,images/Mango\Mango001718.png,5
Kiwi,images/Kiwi/Kiwi C\Kiwi C00299.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002125.png,4
Mango,images/Mango\Mango002241.png,5
Pomegranate,images/Pomegranate\Pomegranet001531.png,12
Peach,images/Peach\Peach00127.png,7
Carambola,images/Carambola\Carambola 00484.png,2
Orange,images/Orange\Orange001003.png,6
Banana,images/Banana\Banana02600.png,1
Plum,images/Plum\PlumÒÇé1059.png,11
Persimmon,images/Persimmon\Persimmon640.png,9
Plum,images/Plum\PlumÒÇé2077.png,11
Mango,images/Mango\Mango00765.png,5
Pear,images/Pear\pear_0_1042.png,8
muskmelon,images/muskmelon\Muskmelon 001746.png,14
Carambola,images/Carambola\Carambola 00690.png,2
muskmelon,images/muskmelon\Muskmelon 001115.png,14
Apple,images/Apple\Apple 02699.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A00665.png,4
Carambola,images/Carambola\Carambola 00820.png,2
Pomegranate,images/Pomegranate\Pomegranet00818.png,12
Orange,images/Orange\Orange001288.png,6
Guava,images/Guava/guava total final\Guava893.png,3
Guava,images/Guava/guava total final\Guava01950.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A001525.png,4
Pitaya,images/Pitaya\Pitaya002360.png,10
Plum,images/Plum\PlumÒÇé1493.png,11
Orange,images/Orange\Orange001866.png,6
Peach,images/Peach\Peach00330.png,7
Pomegranate,images/Pomegranate\Pomegranet001860.png,12
Peach,images/Peach\Peach001497.png,7
Guava,images/Guava/guava total final\Guava01752.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A002170.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00656.png,4
Carambola,images/Carambola\Carambola 00905.png,2
Kiwi,images/Kiwi/kiwi A\Kiwi A00358.png,4
Mango,images/Mango\Mango003262.png,5
Pear,images/Pear\Pear 895.png,8
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002681.png,4
Pomegranate,images/Pomegranate\Pomegranet001222.png,12
Banana,images/Banana\Banana049.png,1
Guava,images/Guava/guava total final\Guava63.png,3
muskmelon,images/muskmelon\Muskmelon 002074.png,14
Pear,images/Pear\Pear 1665.png,8
Orange,images/Orange\Orange001244.png,6
Persimmon,images/Persimmon\Persimmon1438.png,9
Pomegranate,images/Pomegranate\Pomegranet001135.png,12
Apple,images/Apple\Apple 01234.png,0
Guava,images/Guava/guava total final\Guava0469.png,3
Pitaya,images/Pitaya\Pitaya00251.png,10
Mango,images/Mango\Mango003866.png,5
